,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
0,17.00,1,The Lost Symbol,"28,387",4.3,Dan Brown,Hardcover,2009
1,10.43,2,The Shack: Where Tragedy Confronts Eternity,"40,923",4.6,William P. Young,Paperback,2009
2,16.32,3,Liberty and Tyranny: A Conservative Manifesto,"5,306",4.8,Mark R. Levin,Hardcover,2009
3,9.38,4,"Breaking Dawn (The Twilight Saga, Book 4)","24,901",4.7,Stephenie Meyer,Hardcover,2009
4,10.00,5,Going Rogue: An American Life,"1,599",4.6,Sarah Palin,Hardcover,2009
5,20.96,6,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2009
6,15.94,7,The Help,"32,363",4.7,Kathryn Stockett,Hardcover,2009
7,19.99,8,New Moon (The Twilight Saga),"20,399",4.6,Stephenie Meyer,Paperback,2009
8,69.99,9,The Twilight Saga Collection,"6,840",4.7,Stephenie Meyer,Hardcover,2009
9,15.69,10,Outliers: The Story of Success,"35,368",4.6,Malcolm Gladwell,Hardcover,2009
10,16.79,11,Eclipse (Twilight),"19,919",4.7,Stephenie Meyer,Hardcover,2009
11,15.91,12,"Twilight (The Twilight Saga, Book 1)","34,220",4.7,Stephenie Meyer,Paperback,2009
12,9.90,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","1,428",4.5,Glenn Beck,Paperback,2009
13,15.00,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"4,205",4.3,Greg Mortenson,Paperback,2009
14,12.99,15,The Love Dare,"3,456",4.8,Stephen Kendrick,Paperback,2009
15,20.97,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","8,402",4.5,Steve Harvey,Hardcover,2009
16,13.94,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","14,549",4.6,Jeff Kinney,Hardcover,2009
17,26.11,18,Under the Dome: A Novel,"12,832",4.4,Stephen King,Hardcover,2009
18,12.90,19,The Guernsey Literary and Potato Peel Pie Society,"36,619",4.6,Mary Ann Shaffer,Paperback,2009
19,17.90,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,949,4.5,David Zinczenko,Paperback,2009
20,9.64,21,Arguing with Idiots: How to Stop Small Minds and Big Government,910,4.6,Glenn Beck,Hardcover,2009
21,31.49,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","8,046",4.8,Julia Child,Hardcover,2009
22,59.99,23,Sookie Stackhouse,"1,000",4.7,Charlaine Harris,Mass Market Paperback,2009
23,12.95,24,The Time Traveler's Wife,"10,530",4.4,Audrey Niffenegger,Paperback,2009
24,19.78,25,"Publication Manual of the American Psychological Association, 6th Edition","12,910",4.5,American Psychological Association,Paperback,2009
25,12.48,26,True Compass: A Memoir,577,4.5,Edward M. Kennedy,Hardcover,2009
26,10.99,27,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),"30,923",4.5,Stieg Larsson,Paperback,2009
27,11.69,28,The 5000 Year Leap,"2,619",4.8,W. Cleon Skousen,Paperback,2009
28,14.55,29,Good to Great: Why Some Companies Make the Leap and Others Don't,"8,256",4.5,Jim Collins,Hardcover,2009
29,,30,Eclipse (Twilight Sagas),"19,919",4.7,Stephenie Meyer,Paperback,2009
30,12.90,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"24,773",4.6,Stieg Larsson,Hardcover,2009
31,10.99,2,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),"30,923",4.5,Stieg Larsson,Paperback,2009
32,15.65,3,Decision Points,"2,755",4.6,George W. Bush,Hardcover,2009
33,15.94,4,The Help,"32,363",4.7,Kathryn Stockett,Hardcover,2009
